Machine,Trigger Type,Name / Event,From,To,After,Relative To,Calendar,Guards,Steps
Application,onEvent,workflow.task.claimed,,,,,,,Call `openApplication`; Call `createInterview`
Application,onEvent,intake.application.submitted,,,,,,,Call `createProgramVerifications`; Call `createProgramVerifications`
Application,onEvent,data_exchange.call.completed,,,,,,,Call `updateVerificationOnCallResult`
Application,onEvent,scheduling.appointment.scheduled,,,,,,,Call `linkAppointment`
Application,onEvent,document_management.version.uploaded,,,,,,,Call `satisfyVerificationOnDocumentUpload`
Application,onEvent,eligibility.application.determination_completed,,,,,,,Call `recordDetermination`
Application,onEvent,eligibility.application.all_determined,,,,,,,POST `intake/applications/{this.subject}/close`
Application,onEvent,eligibility.application.expedited,,,,,,,PATCH `intake/applications/{this.subject}`
Verification,onEvent,intake.verification.created,,,,,,,Call `initiateServiceCalls`
